"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 26 20:28:37 CST 2022","Tue Jul 26 20:28:51 CST 2022","13809","package_pytest","test_operate_app","TestH7131","","","test_off[19-500]",""
"passed","Tue Jul 26 21:16:33 CST 2022","Tue Jul 26 21:16:40 CST 2022","6747","package_pytest","test_operate_app","TestH7131","","","test_show[42-500]",""
"passed","Tue Jul 26 20:45:58 CST 2022","Tue Jul 26 20:46:09 CST 2022","10570","package_pytest","test_operate_app","TestH7131","","","test_lock[27-500]",""
"passed","Tue Jul 26 20:17:24 CST 2022","Tue Jul 26 20:17:29 CST 2022","4852","package_pytest","test_operate_app","TestH7131","","","test_fan[13-500]",""
"passed","Tue Jul 26 20:26:03 CST 2022","Tue Jul 26 20:26:11 CST 2022","7297","package_pytest","test_operate_app","TestH7131","","","test_off_lock[17-500]",""
"passed","Tue Jul 26 20:04:25 CST 2022","Tue Jul 26 20:04:31 CST 2022","6295","package_pytest","test_operate_app","TestH7131","","","test_off_show[6-500]",""
"passed","Tue Jul 26 20:39:58 CST 2022","Tue Jul 26 20:40:02 CST 2022","3928","package_pytest","test_operate_app","TestH7131","","","test_off_light[24-500]",""
"passed","Tue Jul 26 21:00:54 CST 2022","Tue Jul 26 21:01:06 CST 2022","11336","package_pytest","test_operate_app","TestH7131","","","test_low[35-500]",""
"passed","Tue Jul 26 20:45:26 CST 2022","Tue Jul 26 20:45:30 CST 2022","3333","package_pytest","test_operate_app","TestH7131","","","test_auto[27-500]",""
"passed","Tue Jul 26 21:10:47 CST 2022","Tue Jul 26 21:10:59 CST 2022","11985","package_pytest","test_operate_app","TestH7131","","","test_off[40-500]",""
"passed","Tue Jul 26 20:24:25 CST 2022","Tue Jul 26 20:24:30 CST 2022","5155","package_pytest","test_operate_app","TestH7131","","","test_out_app_home[16-500]",""
